rank,finalWorth,category,personName,age,country,city,source,industries,countryOfCitizenship,organization,selfMade,status,gender,birthDate,lastName,firstName,title,date,state,residenceStateRegion,birthYear,birthMonth,birthDay,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,latitude_country,longitude_country,Unknown,South,West,Midwest,Northeast,U.S. Territories,regionOfCitizenship
1,211000,Fashion & Retail,Bernard Arnault & family,74.0,France,Paris,LVMH,Fashion & Retail,France,LVMH Moët Hennessy Louis Vuitton,False,U,M,3/5/1949 0:00,Arnault,Bernard,Chairman and CEO,04/04/2023,Unknown,Unknown,1949.0,3.0,5.0,110.05,1.1,"$2,715,518,274,227 ",65.6,102.5,82.5,24.2,60.7,67059887.0,46.227638,2.213749,376795508680.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,Europe
2,180000,Automotive,Elon Musk,51.0,United States,Austin,"Tesla, SpaceX",Automotive,United States,Tesla,True,D,M,6/28/1971 0:00,Musk,Elon,CEO,04/04/2023,Texas,South,1971.0,6.0,28.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,376795508680.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,North America
3,114000,Technology,Jeff Bezos,59.0,United States,Medina,Amazon,Technology,United States,Amazon,True,D,M,1/12/1964 0:00,Bezos,Jeff,Chairman and Founder,04/04/2023,Washington,West,1964.0,1.0,12.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,376795508680.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,North America
4,107000,Technology,Larry Ellison,78.0,United States,Lanai,Oracle,Technology,United States,Oracle,True,U,M,8/17/1944 0:00,Ellison,Larry,CTO and Founder,04/04/2023,Hawaii,West,1944.0,8.0,17.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,376795508680.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,North America
5,106000,Finance & Investments,Warren Buffett,92.0,United States,Omaha,Berkshire Hathaway,Finance & Investments,United States,Berkshire Hathaway Inc. (Cl A),True,D,M,8/30/1930 0:00,Buffett,Warren,CEO,04/04/2023,Nebraska,Midwest,1930.0,8.0,30.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,376795508680.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,North America
6,104000,Technology,Bill Gates,67.0,United States,Medina,Microsoft,Technology,United States,Bill & Melinda Gates Foundation,True,D,M,10/28/1955 0:00,Gates,Bill,Cochair,04/04/2023,Washington,West,1955.0,10.0,28.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,376795508680.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,North America
7,94500,Media & Entertainment,Michael Bloomberg,81.0,United States,New York,Bloomberg LP,Media & Entertainment,United States,Bloomberg,True,U,M,2/14/1942 0:00,Bloomberg,Michael,CEO,04/04/2023,New York,Northeast,1942.0,2.0,14.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,376795508680.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,North America
8,93000,Telecom,Carlos Slim Helu & family,83.0,Mexico,Mexico City,Telecom,Telecom,Mexico,América Móvil,True,U,M,1/28/1940 0:00,Slim Helu,Carlos,Honorary Chairman,04/04/2023,Unknown,Unknown,1940.0,1.0,28.0,141.54,3.6,"$1,258,286,717,125 ",40.2,105.8,75.0,13.1,55.1,126014024.0,23.634501,-102.552784,376795508680.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,Latin America and the Caribbean
9,83400,Diversified,Mukesh Ambani,65.0,India,Mumbai,Diversified,Diversified,India,Reliance Industries,False,D,M,4/19/1957 0:00,Ambani,Mukesh,Founder and Chairman,04/04/2023,Unknown,Unknown,1957.0,4.0,19.0,180.44,7.7,"$2,611,000,000,000 ",28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288,376795508680.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,Asia
10,80700,Technology,Steve Ballmer,67.0,United States,Hunts Point,Microsoft,Technology,United States,Los Angeles Clippers,True,D,M,3/24/1956 0:00,Ballmer,Steve,Owner,04/04/2023,Washington,West,1956.0,3.0,24.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,376795508680.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,North America
11,80500,Fashion & Retail,Francoise Bettencourt Meyers & family,69.0,France,Paris,L'Oréal,Fashion & Retail,France,Unknown,False,U,F,7/10/1953 0:00,Bettencourt Meyers,Francoise,Unknown,04/04/2023,Unknown,Unknown,1953.0,7.0,10.0,110.05,1.1,"$2,715,518,274,227 ",65.6,102.5,82.5,24.2,60.7,67059887.0,46.227638,2.213749,376795508680.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,Europe
12,79200,Technology,Larry Page,50.0,United States,Palo Alto,Google,Technology,United States,Alphabet,True,D,M,3/26/1973 0:00,Page,Larry,Cofounder and board member,04/04/2023,California,West,1973.0,3.0,26.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,376795508680.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,North America
13,77300,Fashion & Retail,Amancio Ortega,87.0,Spain,La Coruna,Zara,Fashion & Retail,Spain,Unknown,True,U,M,3/28/1936 0:00,Ortega,Amancio,Unknown,04/04/2023,Unknown,Unknown,1936.0,3.0,28.0,110.96,0.7,"$1,394,116,310,769 ",88.9,102.7,83.3,14.2,47.0,47076781.0,40.463667,-3.74922,376795508680.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,Europe
14,76000,Technology,Sergey Brin,49.0,United States,Los Altos,Google,Technology,United States,Alphabet,True,D,M,8/21/1973 0:00,Brin,Sergey,Cofounder and board member,04/04/2023,California,West,1973.0,8.0,21.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,376795508680.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,North America
15,68000,Food & Beverage,Zhong Shanshan,68.0,China,Hangzhou,"Beverages, pharmaceuticals",Food & Beverage,China,Unknown,True,U,M,12/1/1954 0:00,Zhong,Shanshan,Unknown,04/04/2023,Unknown,Unknown,1954.0,12.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,376795508680.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,Asia
16,64400,Technology,Mark Zuckerberg,38.0,United States,Palo Alto,Facebook,Technology,United States,Meta Platforms,True,D,M,5/14/1984 0:00,Zuckerberg,Mark,Cofounder,04/04/2023,California,West,1984.0,5.0,14.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,376795508680.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,North America
17,59000,Diversified,Charles Koch & family,87.0,United States,Wichita,Koch Industries,Diversified,United States,"Koch Industries, Inc.",False,D,M,11/1/1935 0:00,Koch,Charles,Chairman and CEO,04/04/2023,Kansas,Midwest,1935.0,11.0,1.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,376795508680.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,North America
17,59000,Diversified,Julia Koch & family,60.0,United States,New York,Koch Industries,Diversified,United States,Unknown,False,D,F,4/12/1962 0:00,Koch,Julia,Unknown,04/04/2023,New York,Northeast,1962.0,4.0,12.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,376795508680.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,North America
19,58800,Fashion & Retail,Jim Walton,74.0,United States,Bentonville,Walmart,Fashion & Retail,United States,"Arvest Bank Group, Inc.",False,D,M,6/7/1948 0:00,Walton,Jim,Chairman and CEO,04/04/2023,Arkansas,South,1948.0,6.0,7.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,376795508680.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,North America
20,57600,Fashion & Retail,Rob Walton & family,78.0,United States,Bentonville,Walmart,Fashion & Retail,United States,Walmart,False,D,M,10/27/1944 0:00,Walton,Rob,Director,04/04/2023,Arkansas,South,1944.0,10.0,27.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,376795508680.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,North America
21,56700,Fashion & Retail,Alice Walton,73.0,United States,Fort Worth,Walmart,Fashion & Retail,United States,Crystal Bridges Museum of American Art,False,D,F,10/7/1949 0:00,Walton,Alice,Philanthropist,04/04/2023,Texas,South,1949.0,10.0,7.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,376795508680.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,North America
22,54400,Media & Entertainment,David Thomson & family,65.0,Canada,Toronto,Media,Media & Entertainment,Canada,Thomson Reuters Corporation,False,U,M,6/12/1957 0:00,Thomson,David,Chairman,04/04/2023,Unknown,Unknown,1957.0,6.0,12.0,116.76,1.9,"$1,736,425,629,520 ",68.9,100.9,81.9,12.8,24.5,36991981.0,56.130366,-106.346771,376795508680.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,North America
23,50100,Technology,Michael Dell,58.0,United States,Austin,Dell Technologies,Technology,United States,Dell Inc.,True,D,M,2/23/1965 0:00,Dell,Michael,Chairman and CEO,04/04/2023,Texas,South,1965.0,2.0,23.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,376795508680.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,North America
24,47200,Diversified,Gautam Adani,60.0,India,Ahmedabad,"Infrastructure, commodities",Diversified,India,Unknown,True,D,M,6/24/1962 0:00,Adani,Gautam,Unknown,04/04/2023,Unknown,Unknown,1962.0,6.0,24.0,180.44,7.7,"$2,611,000,000,000 ",28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288,376795508680.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,Asia
25,45100,Fashion & Retail,Phil Knight & family,85.0,United States,Hillsboro,Nike,Fashion & Retail,United States,Nike,True,D,M,2/24/1938 0:00,Knight,Phil,Chairman,04/04/2023,Oregon,West,1938.0,2.0,24.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,376795508680.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,North America
26,45000,Technology,Zhang Yiming,39.0,China,Beijing,TikTok,Technology,China,ByteDance,True,D,M,1/1/1984 0:00,Zhang,Yiming,Founder,04/04/2023,Unknown,Unknown,1984.0,1.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,376795508680.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,Asia
27,42900,Fashion & Retail,Dieter Schwarz,83.0,Germany,Neckarsulm,Retail,Fashion & Retail,Germany,Unknown,False,D,M,9/24/1939 0:00,Schwarz,Dieter,Unknown,04/04/2023,Unknown,Unknown,1939.0,9.0,24.0,112.85,1.4,"$3,845,630,030,824 ",70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526,376795508680.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,21427700000000.0,Europe
